"Status","Exposure.Location","Street","Suburb","Date","Arrival.Time","Departure.Time","Contact","lat","lon"
"","F45 Training","10 National Circuit","Barton","11/08/2021 - Wednesday","5:00am","8:00am","Close",-35.3056762309022,149.115921155029
"","Gold Creek School (including early childhood learning)","Kelleway Avenue","Nicholls","11/08/2021 - Wednesday","8:00am","5:00pm","Close",-35.1825280979047,149.143149102282
"","Lennock Jaguar Land Rover","126 Melrose Drive","Phillip","11/08/2021 - Wednesday","8:30am","5:30pm","Close",-35.356643678028,149.023461643552
"","Lyneham High School","Goodwin Street","Lyneham","11/08/2021 - Wednesday","8:30am","3:30pm","Close",-35.2522787063313,149.126478349068
"","Pellegrino’s Café","7/49 Wollongong Street","Fyshwick","11/08/2021 - Wednesday","8:30am","8:35am","Close",-35.3202919631565,149.177028637324
"","Harrison School","20 Wimmera Street","Harrison","11/08/2021 - Wednesday","8:30am","3:30pm","Close",-35.1936251257498,149.157485937366
"","CIT Reid Campus (Entire campus)","37 Constitution Avenue","Reid","11/08/2021 - Wednesday","8:45am","3:00pm","Close",-35.2855834879524,149.102510802436
"","IGA Evatt","Heydon Place","Evatt","11/08/2021 - Wednesday","9:00am","3:00pm","Close",-35.2094998381092,149.037815977252
"","North Canberra Business Centre","54 Vicars Street","Mitchell","11/08/2021 - Wednesday","11:10am","11:30am","Close",-35.214077228056,149.208761780496
"","Companion House","41 Templeton Street","Cook","11/08/2021 - Wednesday","11:30am","11:45am","Close",-35.2580601164012,149.087679367935
"","Capital Chemist, Green Square","62 Jardine Street","Kingston","11/08/2021 - Wednesday","12:00pm","12:15pm","Close",-35.3203290051107,149.147570113483
"","Pellegrino’s Café","7/49 Wollongong Street","Fyshwick","11/08/2021 - Wednesday","12:00pm","1:00pm","Close",-35.3216732694435,149.175046063681
"","GGs Flowers & Hampers","Unit 3D, Farrer Shops","Farrer","11/08/2021 - Wednesday","12:15pm","2:00pm","Close",-35.3725880786456,149.114568141188
"","Coles Manuka","Franklin Street and Flinders Way","Griffith","11/08/2021 - Wednesday","12:15pm","12:40pm","Close",-35.3224443004718,149.147482697047
"","CIT Bruce Campus (Individuals who attended Building H only)","35 Vowels Crescent","Bruce","11/08/2021 - Wednesday","12:30pm","4:40pm","Close",-35.2427554913879,149.127877232178
"","Gunners Place – Youth Centre","Level 1, 20 Hibberson Street","Gungahlin","11/08/2021 - Wednesday","1:30pm","2:30pm","Close",-35.1836235163927,149.063663246964
"","Westfield Food Court, Yum Cha","Benjamin Way","Belconnen","11/08/2021 - Wednesday","3:00pm","4:30pm","Close",-35.2369290846197,149.095490122992
"","IGA Evatt","Heydon Place","Evatt","11/08/2021 - Wednesday","4:00pm","8:15pm","Close",-35.2133018514357,149.099211902647
"","Club Lime, CISAC","100 Eastern Valley Way","Bruce","11/08/2021 - Wednesday","4:45pm","7:15pm","Close",-35.2437986068217,149.114617459986
"","The Civic Pub","8 Lonsdale Street","Braddon","11/08/2021 - Wednesday","5:00pm","8:30pm","Close",-35.2754391066234,149.115728651784
"","Turkish Delight","75/71 Giles Street","Kingston","11/08/2021 - Wednesday","6:35pm","6:45pm","Close",-35.3064925737349,149.18407498229
"","Power Kart Raceway","125 Canberra Avenue","Griffith","11/08/2021 - Wednesday","7:15pm","8:30pm","Close",-35.3207309311085,149.156968032768
