"Status","Exposure.Location","Street","Suburb","Date","Arrival.Time","Departure.Time","Contact","lat","lon","doubles","moved"
"","Smile Sensations Casey","13/15 Kingsland Parade","Casey","11/08/2021 - Wednesday","5:50pm","6:50pm","Casual",-35.1744206,149.0954283,"",FALSE
"New","Centrelink and Medicare (Services Australia)","5 Fussell Lane","Gungahlin","13/08/2021 - Friday","2:40pm","4:00pm","Casual",-35.1872024,149.1351165,"",FALSE
"","7-Eleven Phillip","86 Parramatta Street","Phillip","13/08/2021 - Friday","10:55am","11:10am","Monitor",-35.3550615,149.0911059,"",FALSE
"","ALDI Belconnen","Westfield Belconnen, Benjamin Way","Belconnen","13/08/2021 - Friday","8:45am","9:20am","Casual",-35.2380765,149.0650672,"",FALSE
"","ALDI Belconnen","Westfield Belconnen, Benjamin Way","Belconnen","13/08/2021 - Friday","2:00pm","2:25pm","Casual",-35.2380765,149.0650172,"",FALSE
"","ALDI Weston Creek","Brierly Street","Weston","13/08/2021 - Friday","6:00pm","6:30pm","Casual",-35.3414467,149.0525899,"",FALSE
"","Bus Route 66 Transport Canberra Code BUS643","Coombs to Woden Intechange","Public Transport","13/08/2021 - Friday","12:21pm","12:33pm","Casual",-35.3444429,149.0873192,"",FALSE
"","Bus Route 70 Transport Canberra Code BUS321","Woden Interchange to Kambah","Public Transport","13/08/2021 - Friday","12:57pm","1:15pm","Casual",-35.3444429,149.0872692,"",FALSE
"","Capital Chemist O’Connor","9 Sargood Street","O’Connor","13/08/2021 - Friday","9:35am","10:00am","Casual",-35.2639132,149.122586,"",FALSE
"","Coles Amaroo","Horse Park Drive","Amaroo","13/08/2021 - Friday","11:30am","1:00pm","Casual",-35.1646128,149.1318066,"",FALSE
"","Coles Belconnen","Westfield Belconnen, Benjamin Way","Belconnen","13/08/2021 - Friday","9:35am","10:00am","Casual",-35.237949,149.064812,"",FALSE
"","Coles Belconnen","Westfield Belconnen, Benjamin Way","Belconnen","13/08/2021 - Friday","2:15pm","2:45pm","Casual",-35.237949,149.064762,"",FALSE
"","Coles Canberra Centre","Canberra Centre, 148 Bunda Street","Canberra City","13/08/2021 - Friday","6:55pm","7:30pm","Casual",-35.2802271,149.1332059,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE
"","Coles Express Charnwood","Lhotsky Street and Charnwood Place","Charnwood","13/08/2021 - Friday","2:30pm","3:10pm","Monitor",-35.2056325,149.0332572,"",FALSE
"","Costco Majura Park","39-41 Mustang Avenue","Majura Park","13/08/2021 - Friday","12:00pm","1:00pm","Casual",-35.2972375,149.1905839,"",FALSE
"","Crust Pizza Braddon","28 Mort Street","Braddon","13/08/2021 - Friday","5:30pm","5:45pm","Casual",-35.2746249,149.1314767,"",FALSE
"","Elite Supplements Belconnen","Westfield Belconnen, Benjamin Way","Belconnen","13/08/2021 - Friday","2:30pm","2:45pm","Casual",-35.2383723,149.0649988,"",FALSE
"","Food Works Weston Creek","40 Holder Place","Holder","13/08/2021 - Friday","5:00pm","5:10pm","Monitor",-35.3365862,149.0440993,"",FALSE
"","Ginninderra Medical & Dental Centre - The general practice section ONLY","Corner Nettlefold Street and Coulter Drive","Belconnen","13/08/2021 - Friday","3:10pm","3:40pm","Close",-35.2395175,149.0576203,"",FALSE
"","Hawker Drive In Bottle Shop","Belconnen Way and Springvale Drive","Hawker","13/08/2021 - Friday","4:45pm","5:00pm","Monitor",-35.2426147,149.0449504,"",FALSE
"","Hungry Jacks Belconnen","108 Emu Bank Road","Belconnen","13/08/2021 - Friday","3:45pm","11:30pm","Close",-35.2363112,149.0703604,"",FALSE
"","IGA Evatt","Heydon Place","Evatt","13/08/2021 - Friday","11:45am","8:15pm","Casual",-35.2090949,149.0738421,"",FALSE
"","IGA Lyneham","1 Wattle Place","Lyneham","13/08/2021 - Friday","11:00am","11:45am","Monitor",-35.2520717,149.1248594,"",FALSE
"","Kopiku","1/5 Sargood Street","O’Connor","13/08/2021 - Friday","9:45am","10:15am","Casual",-35.2640694,149.1224283,"",FALSE
"","LDK Greenway Views","260 Soward Way","Greenway","13/08/2021 - Friday","12:00am","11:59pm","Close",-35.4197317,149.0632775,"",FALSE
"","Lennock Jaguar Land Rover","126 Melrose Drive","Phillip","13/08/2021 - Friday","8:30am","5:30pm","Close",-35.356842,149.0892491,"",FALSE
"","Liquorland Amaroo","Horse Park Drive","Amaroo","13/08/2021 - Friday","12:00pm","12:30pm","Casual",-35.1647474,149.1320463,"",FALSE
"","McDonalds Mitchell (near EPIC)","661 Northbourne Avenue","Lyneham","13/08/2021 - Friday","6:40pm","7:00pm","Casual",-35.2304555,149.1503226,"",FALSE
"","Officeworks Fyshwick","1 Whyalla Street","Fyshwick","13/08/2021 - Friday","5:25pm","6:05pm","Casual",-35.3343363,149.1715514,"",FALSE
"","Supabarn Casey","15 Kingsland Parade","Casey","13/08/2021 - Friday","3:00pm","3:35pm","Casual",-35.1741413,149.0960504,"",FALSE
"","Westfield Belconnen","Westfield Belconnen, Benjamin Way","Belconnen","13/08/2021 - Friday","8:45am","10:15am","Monitor",-35.2380765,149.0649672,"",FALSE
"","Westfield Belconnen","Westfield Belconnen, Benjamin Way","Belconnen","13/08/2021 - Friday","1:30pm","2:50pm","Monitor",-35.2380765,149.0649172,"",FALSE
"","Westfield Post Office","Westfield Belconnen, Benjamin Way","Belconnen","13/08/2021 - Friday","9:50am","10:15am","Casual",-35.238743,149.0661145,"",FALSE
"","Woden Bus Interchange","Bowes Street","Phillip","13/08/2021 - Friday","12:33pm","12:57pm","Monitor",-35.3444429,149.0872192,"",FALSE
"","Woolworths Belconnen","Westfield Belconnen, Benjamin Way","Belconnen","13/08/2021 - Friday","9:05am","9:45am","Casual",-35.2386596,149.0652762,"",FALSE
"","Woolworths Belconnen","Westfield Belconnen, Benjamin Way","Belconnen","13/08/2021 - Friday","1:45pm","2:10pm","Casual",-35.2386596,149.0652262,"",FALSE
"","Woolworths Bonner","61 Mabo Boulevard","Bonner","13/08/2021 - Friday","11:15am","12:00pm","Casual",-35.1613889,149.1388889,"",FALSE
"","Woolworths Bonner","61 Mabo Boulevard","Bonner","13/08/2021 - Friday","11:15am","12:00pm","Casual",-35.1613889,149.1388389,"",FALSE
"","Woolworths Weston Creek","Corner Brierly Street and Mahony Court","Weston","13/08/2021 - Friday","6:20pm","7:00pm","Casual",-35.340765,149.052631,"",FALSE
"","Woolworths Weston Creek","Corner Brierly Street and Mahony Court","Weston","13/08/2021 - Friday","10:30am","12:00pm","Monitor",-35.340765,149.052581,"",FALSE
"","7-Eleven Casey","10 Kingsland Parade","Casey","14/08/2021 - Saturday","7:30am","8:15am","Casual",-35.175773,149.0957326,"",FALSE
"","About Health","2/22-25 Dickson Place","Dickson","14/08/2021 - Saturday","2:40pm","5:00pm","Casual",-35.2506067,149.1392435,"",FALSE
"","Capital Chemist O'Connor","9 Sargood Street","O'Connor","14/08/2021 - Saturday","7:55pm","8:10pm","Monitor",-35.2639132,149.122611,"",FALSE
"","Coles Belconnen","Westfield Belconnen, Benjamin Way","Belconnen","14/08/2021 - Saturday","9:20am","10:00am","Casual",-35.237949,149.064862,"",FALSE
"","First Choice Liquor Braddon","48 Mort Street","Braddon","14/08/2021 - Saturday","7:45pm","8:05pm","Monitor",-35.2716667,149.1319444,"",FALSE
"","Hungry Jacks Belconnen","108 Emu Bank Road","Belconnen","14/08/2021 - Saturday","8:00am","3:15pm","Close",-35.2363112,149.0704104,"",FALSE
"","Hungry Jacks Gungahlin","Gibberson Street","Gungahlin","14/08/2021 - Saturday","7:20pm","7:40pm","Casual",-35.1834112,149.1267535,"",FALSE
"","IGA Lyneham","1 Wattle Place","Lyneham","14/08/2021 - Saturday","4:15pm","5:00pm","Casual",-35.2520717,149.1249094,"",FALSE
"","LDK Greenway Views","260 Soward Way","Greenway","14/08/2021 - Saturday","12:00am","11:59pm","Close",-35.4197317,149.0633275,"",FALSE
"","McDonalds Dickson","Corner Badham Street and Dickson Place","Dickson","14/08/2021 - Saturday","7:00am","10:30am","Casual",-35.2498103,149.1381879,"",FALSE
"","Meatways Kambah Butcher","Marconi Crescent","Kambah","14/08/2021 - Saturday","1:20pm","2:00pm","Monitor",-35.380305,149.057822,"",FALSE
