"Status","Suburb","Place","Date","Arrival.Time","Departure.Time","table","type","lat","lon"
"New","Belconnen","Xian Restaurant, 1/140 Emu Bank","Wednesday 11 August 2021","9.15pm","9.45pm","Casual Contacts","Casual Contacts New",-35.2361218,149.0698427
"New","Evatt","IGA Evatt, Heydon Place","Friday 13 August 2021","11.45am","8.15pm","Casual Contacts","Casual Contacts New",-35.208918,149.073362
"New","Gungahlin","Coles, Gungahlin Place","Sunday 15 August 2021","9.30am","10:00am","Casual Contacts","Casual Contacts New",-35.1862806,149.136017
"New","Gungahlin","Daily Market, 137/43 Hibberson Street","Sunday 15 August 2021","10:00am","10.30am","Casual Contacts","Casual Contacts New",-35.1854965,149.1363642
"New","Dickson","Woolworths Dickson, 1 Dickson Place","Saturday 14 August 2021","2.50pm","3.40pm","Casual Contacts","Casual Contacts New",-35.249974,149.1386251
"New","Dickson","The Source Bulk Foods, Shop 7/7/30 Dickson Place","Saturday 14 August 2021","2.45pm","3.10pm","Casual Contacts","Casual Contacts New",-35.2506133,149.1397664
"New","Dickson","About Health, 2/22-25 Dickson Place","Saturday 14 August 2021","2.40pm","5:00pm","Casual Contacts","Casual Contacts New",-35.2506067,149.1392435
"New","Dickson","Woolworths Dickson, 1 Dickson Place","Saturday 14 August 2021","11.20am","11.50am","Casual Contacts","Casual Contacts New",-35.249974,149.1386251
"New","Bonner","Woolworths Bonner, 61 Mabo Blvd","Saturday 14 August 2021","11.15am","12:00pm","Casual Contacts","Casual Contacts New",-35.1613889,149.1388889
"","Fyshwick","Ampol fuel, 289 Canberra Ave","Wednesday 11 August 2021","1:10pm","1.30pm","Casual Contacts","Casual Contacts ",-35.334177,149.1699433
"","Symonston","Mugga Site - Mugga Lane Resource Management Centre Waste Transfer Station, Mugga Ln","Monday 9 August 2021","10:00am","10:30am","Casual Contacts","Casual Contacts ",-35.3847055,149.1381353
"","Fyshwick","Canberra Outlet Centre","Sunday 8 August 2021","2:00pm","3:30pm","Monitoring","Monitoring ",-35.3366664,149.1784548
"","Aranda","Aranda Playing Fields, U14 girls AFL Ainslie Red vs Belconnen Black","Sunday 8 August 2021","9:00am","11:30am","Monitoring","Monitoring ",-35.25363,149.08
"","Casey","Casey Marketplace, 15 Kingsland Parade","Tuesday 10 August 2021","3:50pm","4:20pm","Monitoring","Monitoring ",-35.17447,149.0959449
"","Phillip","Woolworths Phillip, Westfield Woden, Hindmarsh Dr & Melrose Drives","Tuesday 10 August 2021","5:30pm","6:30pm","Monitoring","Monitoring ",-35.345964,149.084734
"","Kingston","Ground Floor only, Abode Hotel. 14 Kennedy St.","Wednesday 11 August 2021","7:50am","7:00pm","Monitoring","Monitoring ",-35.31713,149.14108
"","Kingston","Ochre Medical Centre, Level 1, Green Square Centre 62 Jardine Street","Wednesday 11 August 2021","4:30pm","4:40pm","Monitoring","Monitoring ",-35.3158701,149.1414428
"","Kingston","Ground Floor only, Abode Hotel. 14 Kennedy St.","Thursday 12 August 2021","7:50am","7:00pm","Monitoring","Monitoring ",-35.31713,149.14108
"","Tuggeranong","Bunnings Tuggeranong, Anketell St, Greenway","Wednesday 11 August 2021","10:15am","10:50am","Monitoring","Monitoring ",-35.4218444,149.0711101
"","Holder","Weston Creek Food Works, FoodWorks, 3, 40 Holder Pl, Holder","Friday 13 August 2021","5:00pm","5:10pm","Monitoring","Monitoring ",-35.3365862,149.0440993
"","Holt","Woolworths Kippax, 48 Hardwick Cres, Holt","Tuesday 10 August 2021","11:00am","11:15am","Monitoring","Monitoring ",-35.2228703,149.0201727
"","Holt","ALDI Kippax, 50-60 Hardwick Crescent, Kippax Pl, Holt","Thursday 12 August 2021","1:20pm","2:00pm","Monitoring","Monitoring ",-35.2210845,149.0192219
"","Hawker","Hawker Drive In Bottle Shop, Belconnen Way &, Springvale Dr, Hawker","Friday 13 August 2021","4:45pm","5:00pm","Monitoring","Monitoring ",-35.2426147,149.0449504
"","Bruce","CIT Bruce Campus: Entire Campus (refer to Close Contacts above if attended Building H), 35 Vowels Cres, Bruce","Tuesday 10 August 2021","8:45am","4:30pm","Monitoring","Monitoring ",-35.2481112,149.0946633
"","Bruce","CIT Bruce Campus: Entire Campus (refer to Close Contacts above if attended Building H), 35 Vowels Cres, Bruce","Wednesday 11 August 2021","12:30pm","10:30pm","Monitoring","Monitoring ",-35.2481112,149.0946633
"","Braddon","7-Eleven Braddon, 20 Mort Street","Wednesday 11 August 2021","5:00pm","5:15pm","Monitoring","Monitoring ",-35.275691,149.1316658
"","Belconnen","Westfield Belconnen, Benjamin Way, Belconnen","Friday 13 August 2021","8:45am","10:15am","Monitoring","Monitoring ",-35.2380765,149.0650422
"","Belconnen","Westfield Belconnen, Benjamin Way, Belconnen","Friday 13 August 2021","1:30pm","2:50pm","Monitoring","Monitoring ",-35.2380765,149.0650422
"","Canberra City","Canberra Centre, 148 Bunda Street","Monday 9 August 2021","10:30am","12:00pm","Monitoring","Monitoring ",-35.2802271,149.1332559
"New","Manuka","Coles Supermarket, Manuka, Franklin Street &, Flinders Way","Sunday 15 August 2021","11:15am","12:00pm","Monitoring","Monitoring New",-35.32102,149.1342
"New","Lyneham","Lyneham IGA, 1 Wattle Place","Friday 13 August 2021","11:00am","11:45am","Monitoring","Monitoring New",-35.2520717,149.1248594
"New","Belconnen","UCSSC Lake Ginninderra: Entire Campus excluding Gymnasium and Cafeteria/Canteen area. Refer to Close Contacts above if attended Gymnasium and Cafeteria/Canteen area, 2 Emu Bank","Monday 9 August 2021","10:00am","1:30pm","Monitoring","Monitoring New",-35.2387098,149.0736849
