"Status","Suburb","Place","Date","Arrival.Time","Departure.Time","table","type","lat","lon"
"","Fyshwick","Pellegrino’s Café, 7/49 Wollongong Street","Wednesday 11 August 2021","8:30am","8:35am","Close Contacts","Close Contacts ",-35.3247984,149.1794654
"","Fyshwick","Pellegrino’s Café, 7/49 Wollongong Street","Wednesday 11 August 2021","12:00pm","13:00pm","Close Contacts","Close Contacts ",-35.3247984,149.1794654
"","Nicholls","Gold Creek School, Kelleway Avenue(including Early Childhood Learning Centre)FAQs for schools","Thursday 12 August 2021","8:00am","3:10pm","Close Contacts","Close Contacts ",-35.1799885,149.0941286
"","Fyshwick","Pellegrino’s Café, 7/49 Wollongong Street","Thursday 12 August 2021","8:30am","8:35am","Close Contacts","Close Contacts ",-35.3247984,149.1794654
"","Lyneham","Lyneham High School - Goodwin StreetFAQs for schools","Thursday 12 August 2021","8:30am","3:30pm","Close Contacts","Close Contacts ",-35.2524674,149.130518
"","Phillip","Lennock Jaguar Land Rover, 126 Melrose Drive","Thursday 12 August 2021","8:30am","5:30pm","Close Contacts","Close Contacts ",-35.356842,149.0891491
"","Canberra City","Coffee Guru Canberra Centre, Shop K05, Canberra Centre, 148 Bunda Street","Thursday 12 August 2021","10:45am","12:00pm","Close Contacts","Close Contacts ",-35.2802191,149.133323
"","Phillip","Lennock Jaguar Land Rover, 126 Melrose Drive","Friday 13 August 2021","8:30am","5:30pm","Close Contacts","Close Contacts ",-35.356842,149.0891491
"","Nicholls","Gold Creek Senior Campus Gym 26 Kelleway Ave, Nicholls","Monday 9 August 2021","5:00pm","9.30pm","Close Contacts","Close Contacts ",-35.1812815,149.1004454
"","Amaroo","Priceline Pharmacy Amaroo Shop/ 6 Pioneer Street","Thursday 12 August 2021","5:00pm","6.45pm","Close Contacts","Close Contacts ",-35.164779,149.1324158
"","Gungahlin","Commonwealth Bank Gungahlin Shop 23-25 Gungahlin Mall, 33 Hibberson St","Thursday 12 August 2021","9.30am","10:00am","Close Contacts","Close Contacts ",-35.1853356,149.1346788
