"Status","Exposure.Location","Street","Suburb","Date","Arrival.Time","Departure.Time","Contact","lat","lon"
"New","Spence Grocer","1 Glassey place","Spence","12/08/2021 - Thursday","3:20pm","3:50pm","Casual",-35.1947574335062,149.061580892792
"New","Spence Grocer","1 Glassey place","Spence","14/08/2021 - Saturday","12:40pm","1:10pm","Casual",-35.1947305688982,149.061583463021
"New","Spence Grocer","1 Glassey place","Spence","15/08/2021 - Sunday","9:30am","9:50am","Casual",-35.1947456167885,149.061557323009
"New","Braddon McDonalds","Cnr Cooyong & Mort Streets","Braddon","16/08/2021 - Monday","10:15am","10:40am","Casual",-35.2779548526764,149.134085544244
"New","Westfield Belconnen Food Court","204 Benjamin Way, Belconnen","Belconnen","12/08/2021 - Thursday","10am","11:45am","Casual",-35.2379134518938,149.065291545825
"New","Woolworths Gungahlin","30 Hibberson St, Gungahlin","Gungahlin","12/08/2021 - Thursday","4:30pm","5:05pm","Casual",-35.1846360396018,149.133944526869
"New","Woolworths Bonner","61 Mabo Blvd, Bonner ACT 2914","Bonner","13/08/2021 - Friday","11:15am","12:00pm","Casual",-35.1613835550178,149.138885371836
"New","Flatheads Takeaway","Macpherson St & Bluebell St O'Connor","O'Connor","11/08/2021 - Wednesday","12:15pm","12:30pm","Casual",-35.2640058596674,149.121992744274
"New","Mawson Southland Quality Meats","1/93 Mawson Place, Mawson","Mawson","12/08/2021 - Thursday","1:40pm","1:55pm","Casual",-35.3650000340033,149.094195060827
"New","Aldi Canberra Centre","Canberra Centre, Bunda Street","Civic","15/08/2021 - Sunday","9:15am","10:15am","Casual",-35.2802080870963,149.133267500162
"New","Acai Brothers Canberra Centre","Canberra Centre, Bunda Street","Civic","15/08/2021 - Sunday","9:55am","10:05am","Casual",-35.2785357242027,149.133327220487
"New","Black Mountain School Basketball Courts","Cockle St","O'Connor ACT","12/08/2021 - Thursday","11:45am","1:15pm","Casual",-35.2645716073111,149.112971225336
"New","Subway Barton","48 Macquarie St, Barton ACT 2600","Barton","10/08/2021 - Tuesday","10:50am","11:20am","Casual",-35.3060971225369,149.135887597289
"New","Basketball Stadium","42 Oatley Court, Belconnen ACT 2617","Belconnen","10/08/2021 - Tuesday","5:50pm","7:30pm","Casual",-35.2420095045032,149.057521972637
"New","Supabarn","15 Kingsland Parade","Casey","13/08/2021 - Friday","3:00pm","3:34pm","Casual",-35.1741417796176,149.096034546188
"","Canberra Outlet Centre","377 Canberra Avenue","Fyshwick","08/08/2021 - Sunday","2:00pm","3:30pm","Monitor",-35.3366659435167,149.178435345724
"","U14 girls AFL Ainslie Red vs Belconnen Black","Aranda Playing Fields","Aranda","08/08/2021 - Sunday","9:00am","11:30am","Monitor",-35.2536308619076,149.080022414289
"","Casey Marketplace","15 Kingsland Parade","Casey","10/08/2021 - Tuesday","3:50pm","4:20pm","Monitor",-35.1744806363366,149.095942168552
"","Woolworths Phillip","Westfield Woden, Hindmarsh Dr & Melrose Drives","Phillip","10/08/2021 - Tuesday","5:30pm","6:30pm","Monitor",-35.3463162511803,149.08604128637
"","Abode Hotel (Ground Floor only)","14 Kennedy St","Kingston","11/08/2021 - Wednesday","7:50am","7:00pm","Monitor",-35.317115867979,149.141085207021
"","Ochre Medical Centre","Level 1, Green Square Centre, 62 Jardine Street","Kingston","11/08/2021 - Wednesday","4:30pm","4:40pm","Monitor",-35.315869539306,149.14143626238
"","Abode Hotel (Ground Floor only)","14 Kennedy St","Kingston","12/08/2021 - Thursday","7:50am","7:00pm","Monitor",-35.3171459323574,149.141096269262
"","Bunnings Tuggeranong","Anketell St, Greenway","Tuggeranong","11/08/2021 - Wednesday","10:15am","10:50am","Monitor",-35.4218614410274,149.071115039013
"","Weston Creek Food Works","FoodWorks, 3, 40 Holder Pl, Holder","Holder","13/08/2021 - Friday","5:00pm","5:10pm","Monitor",-35.3365859328715,149.044119250317
"","Woolworths Kippax","48 Hardwick Cres, Holt","Holt","10/08/2021 - Tuesday","11:00am","11:15am","Monitor",-35.2228769900983,149.020186634674
"","ALDI Kippax,","50-60 Hardwick Crescent, Kippax Pl, Holt","Holt","12/08/2021 - Thursday","1:20pm","2:00pm","Monitor",-35.2210941488357,149.019230596457
"","Hawker Drive In Bottle Shop","Belconnen Way &, Springvale Dr, Hawker","Hawker","13/08/2021 - Friday","4:45pm","5:00pm","Monitor",-35.2425980199667,149.044938614762
"","CIT Bruce Campus: Entire Campus (refer to Close Contacts entry if attended Building H)","35 Vowels Cres, Bruce","Bruce","10/08/2021 - Tuesday","8:45am","4:30pm","Monitor",-35.2481276304934,149.094648321545
"","CIT Bruce Campus: Entire Campus (refer to Close Contacts entry if attended Building H)","35 Vowels Cres, Bruce","Bruce","11/08/2021 - Wednesday","12:30pm","10:30pm","Monitor",-35.2480989102725,149.094659816501
"","7-Eleven Braddon","20 Mort Street","Braddon","11/08/2021 - Wednesday","5:00pm","5:15pm","Monitor",-35.2756752956304,149.131663476255
"","Westfield Belconnen","Benjamin Way, Belconnen","Belconnen","13/08/2021 - Friday","8:45am","10:15am","Monitor",-35.2380786032352,149.065031730582
"","Westfield Belconnen","Benjamin Way, Belconnen","Belconnen","13/08/2021 - Friday","1:30pm","2:50pm","Monitor",-35.2380940153177,149.065030698731
"","Canberra Centre","148 Bunda Street","Canberra City","09/08/2021 - Monday","10:30am","12:00pm","Monitor",-35.2802935185352,149.13324870839
"","Coles Supermarket  Manuka","Franklin Street &, Flinders Way","Manuka","15/08/2021 - Sunday","11:15am","12:00pm","Monitor",-35.321035008832,149.134183970697
"","Lyneham IGA","1 Wattle Place","Lyneham","13/08/2021 - Friday","11:00am","11:45am","Monitor",-35.2520777314845,149.124869671303
"","UCSSC Lake Ginninderra (Entire Campus excluding Gymnasium and Cafeteria/Canteen area. Refer to Close Contact entry if you attended Gymnasium and Cafeteria/Canteen area)","2 Emu Bank","Belconnen","09/08/2021 - Monday","10:00am","1:30pm","Monitor",-35.2386477245416,149.0736934776
"New","Westfield Belconnen","204 Benjamin Way, Belconnen","Belconnen","12/08/2021 - Thursday","7:30am","9:00am","Monitor",-35.2380610554502,149.065025919629
"New","Gungahlin Marketplace","30 Hibberson St, Gungahlin","Gungahlin","12/08/2021 - Thursday","11:30am","2:00pm","Monitor",-35.1846682189696,149.134794806968
"New","UC Library","Building 8, University of Canberra, Bruce ACT 2617","Bruce","11/08/2021 - Wednesday","8:00pm","9:00pm","Monitor",-35.2379769716469,149.083583763427
"New","IGA O'Connor","3 Sargood Street","O'Connor","15/08/2021 - Sunday","5:30pm","6:00pm","Monitor",-35.2641007644251,149.122267685608
"New","Bunnings Belconnen","15 Lathlain Street","Belconnen","15/08/2021 - Sunday","5:20pm","5:45pm","Monitor",-35.2444821937823,149.063798268507
"New","Ampol Petrol Station","5 Lonsdale Street","Braddon","12/08/2021 - Thursday","3:00pm","3:30pm","Monitor",-35.2710470647557,149.133422162989
"New","First Choice Liquor","48 Mort Street Braddon","Braddon","14/08/2021 - Saturday","7:45pm","8:05pm","Monitor",-35.2716700254902,149.131945241686
"New","Capital Chemist","9 Sargood Street","O'Connor","14/08/2021 - Saturday","7:55PM","8:10pm","Monitor",-35.2639183751695,149.1225937647
"New","Westfield Belconnen - bus stop entrance","204 Benjamin Way, Belconnen","Belconnen","10/08/2021 - Tuesday","7:45am","8:45am","Monitor",-35.2380940411281,149.065032357961
