"Status","Exposure.Location","Street","Suburb","Date","Arrival.Time","Departure.Time","Contact","lat","lon"
"","F45 Training","10 National Circuit","Barton","11/08/2021 - Wednesday","5:00am","8:00am","Close",-35.3085763547509,149.13392291912
"","Gold Creek School (including early childhood learning)","Kelleway Avenue","Nicholls","11/08/2021 - Wednesday","8:00am","5:00pm","Close",-35.1812828235604,149.100452066577
"","Lennock Jaguar Land Rover","126 Melrose Drive","Phillip","11/08/2021 - Wednesday","8:30am","5:30pm","Close",-35.3568593645619,149.089146143123
"","Lyneham High School","Goodwin Street","Lyneham","11/08/2021 - Wednesday","8:30am","3:30pm","Close",-35.2524768927412,149.130518072864
"","Pellegrino’s Café","7/49 Wollongong Street","Fyshwick","11/08/2021 - Wednesday","8:30am","8:35am","Close",-35.3248100021264,149.179456649157
"","Harrison School","20 Wimmera Street","Harrison","11/08/2021 - Wednesday","8:30am","3:30pm","Close",-35.1996431123828,149.15229695364
"","CIT Reid Campus (Entire campus)","37 Constitution Avenue","Reid","11/08/2021 - Wednesday","8:45am","3:00pm","Close",-35.2860975144826,149.137418960228
"","IGA Evatt","Heydon Place","Evatt","11/08/2021 - Wednesday","9:00am","3:00pm","Close",-35.2091072657162,149.073773947039
"","North Canberra Business Centre","54 Vicars Street","Mitchell","11/08/2021 - Wednesday","11:10am","11:30am","Close",-35.2101337161949,149.144345531338
"","Companion House","41 Templeton Street","Cook","11/08/2021 - Wednesday","11:30am","11:45am","Close",-35.2590637052671,149.061532293529
"","Capital Chemist, Green Square","62 Jardine Street","Kingston","11/08/2021 - Wednesday","12 noon","12:15pm","Close",-35.3159356430731,149.141613089875
"","Pellegrino’s Café","7/49 Wollongong Street","Fyshwick","11/08/2021 - Wednesday","12 noon","1:00pm","Close",-35.3247832066708,149.17946352131
"","GGs Flowers & Hampers","Unit 3D, Farrer Shops","Farrer","11/08/2021 - Wednesday","12:15pm","2:00pm","Close",-35.3754366389892,149.101361259697
