"Status","Exposure.Location","Street","Suburb","Date","Arrival.Time","Departure.Time","Contact","lat","lon"
"","F45 Training","10 National Circuit","Barton","11/08/2021 - Wednesday","5:00am","8:00am","Close",-35.3057097532401,149.115906456619
"","Gold Creek School (including early childhood learning)","Kelleway Avenue","Nicholls","11/08/2021 - Wednesday","8:00am","5:00pm","Close",-35.1825515359686,149.143123236266
"","Lennock Jaguar Land Rover","126 Melrose Drive","Phillip","11/08/2021 - Wednesday","8:30am","5:30pm","Close",-35.3566308485456,149.023451262416
"","Lyneham High School","Goodwin Street","Lyneham","11/08/2021 - Wednesday","8:30am","3:30pm","Close",-35.2522986051535,149.126477995669
"","Pellegrino’s Café","7/49 Wollongong Street","Fyshwick","11/08/2021 - Wednesday","8:30am","8:35am","Close",-35.3202739455294,149.177031371915
"","Harrison School","20 Wimmera Street","Harrison","11/08/2021 - Wednesday","8:30am","3:30pm","Close",-35.1935855091755,149.157461236764
"","CIT Reid Campus (Entire campus)","37 Constitution Avenue","Reid","11/08/2021 - Wednesday","8:45am","3:00pm","Close",-35.2855781107104,149.102506032028
"","IGA Evatt","Heydon Place","Evatt","11/08/2021 - Wednesday","9:00am","3:00pm","Close",-35.2094647908492,149.037821301155
"","North Canberra Business Centre","54 Vicars Street","Mitchell","11/08/2021 - Wednesday","11:10am","11:30am","Close",-35.2140671302719,149.208724704568
"","Companion House","41 Templeton Street","Cook","11/08/2021 - Wednesday","11:30am","11:45am","Close",-35.258044136442,149.087710489909
"","Capital Chemist, Green Square","62 Jardine Street","Kingston","11/08/2021 - Wednesday","12:00pm","12:15pm","Close",-35.3203638860514,149.147547770956
"","Pellegrino’s Café","7/49 Wollongong Street","Fyshwick","11/08/2021 - Wednesday","12:00pm","1:00pm","Close",-35.3216435500215,149.175082800363
"","GGs Flowers & Hampers","Unit 3D, Farrer Shops","Farrer","11/08/2021 - Wednesday","12:15pm","2:00pm","Close",-35.3725591515811,149.11457868244
"","Coles Manuka","Franklin Street and Flinders Way","Griffith","11/08/2021 - Wednesday","12:15pm","12:40pm","Close",-35.3224816306642,149.147518540965
"","CIT Bruce Campus (Individuals who attended Building H only)","35 Vowels Crescent","Bruce","11/08/2021 - Wednesday","12:30pm","4:40pm","Close",-35.2427907533326,149.127842379035
"","Gunners Place – Youth Centre","Level 1, 20 Hibberson Street","Gungahlin","11/08/2021 - Wednesday","1:30pm","2:30pm","Close",-35.1836253679579,149.063666679952
"","Westfield Food Court, Yum Cha","Benjamin Way","Belconnen","11/08/2021 - Wednesday","3:00pm","4:30pm","Close",-35.2369396939922,149.095450434172
"","IGA Evatt","Heydon Place","Evatt","11/08/2021 - Wednesday","4:00pm","8:15pm","Close",-35.2132780710517,149.099219101356
"","Club Lime, CISAC","100 Eastern Valley Way","Bruce","11/08/2021 - Wednesday","4:45pm","7:15pm","Close",-35.243787170045,149.114599587003
"","The Civic Pub","8 Lonsdale Street","Braddon","11/08/2021 - Wednesday","5:00pm","8:30pm","Close",-35.2754248377069,149.115713609925
"","Turkish Delight","75/71 Giles Street","Kingston","11/08/2021 - Wednesday","6:35pm","6:45pm","Close",-35.3064721431143,149.184081547539
"","Power Kart Raceway","125 Canberra Avenue","Griffith","11/08/2021 - Wednesday","7:15pm","8:30pm","Close",-35.3207173359716,149.156941427953
"","Gelato Messina Kingston","38 Eyre Street","Kingston","11/08/2021 - Wednesday","8:00pm","8:40pm","Close",-35.3205932628766,149.108400857964
"","F45 Training","10 National Circuit","Barton","12/08/2021 - Thursday","5:00am","8:00am","Close",-35.3160429683146,149.127552684092
"","Melt","109 Flemington Road","Mitchell","12/08/2021 - Thursday","7:30am","8:00am","Close",-35.2233255776472,149.167249124997
"","Lawrence & Hanson Mitchell","2/67-71 Vicars Street","Mitchell","12/08/2021 - Thursday","7:30am","8:00am","Close",-35.2055479884995,149.13202823588
"","Gold Creek School (including Early Childhood Learning Centre)","Kelleway Avenue","Nicholls","12/08/2021 - Thursday","8:00am","3:10pm","Close",-35.1806263676387,149.125096051283
"","Harrison School","20 Wimmera Street","Harrison","12/08/2021 - Thursday","8:30am","3:30pm","Close",-35.1976015001628,149.15555604426
"","Pellegrino’s Café","7/49 Wollongong Street","Fyshwick","12/08/2021 - Thursday","8:30am","8:35am","Close",-35.3254993251162,149.161589596822
"","Lennock Jaguar Land Rover","126 Melrose Drive","Phillip","12/08/2021 - Thursday","8:30am","5:30pm","Close",-35.3549044061642,149.069706026567
"","Lyneham High School","Goodwin Street","Lyneham","12/08/2021 - Thursday","8:30am","3:30pm","Close",-35.2498662199396,149.05623007678
"","CIT Reid Campus (Entire campus)","37 Constitution Avenue","Reid","12/08/2021 - Thursday","9:00am","2:30pm","Close",-35.2875336252147,149.136403026632
"","Commonwealth Bank Gungahlin","Shop 23-25, Gungahlin Mall, 33 Hibberson Street","Gungahlin","12/08/2021 - Thursday","9:30am","10:00am","Close",-35.1868822048142,149.141923088675
"","Coffee Guru, Canberra Centre","Shop K05, Canberra Centre, 148 Bunda Street","Canberra City","12/08/2021 - Thursday","10:45am","12 noon","Close",-35.2867506309149,149.127082761228
"","Lawrence & Hanson Mitchell","2/67-71 Vicars Street","Mitchell","12/08/2021 - Thursday","12:40pm","1:00pm","Close",-35.2106679661049,149.14189785352
"","Franklin General Practice","54 Nullarbor Avenue","Franklin","12/08/2021 - Thursday","2:15pm","3:15pm","Close",-35.2040003627232,149.166411930528
"","Priceline Pharmacy amaroo","6 Pioneer Street","amaroo","12/08/2021 - Thursday","5:00pm","6:45pm","Close",-35.1632736360543,149.11847979255
"","Coles Supermarket","1 Maribyrnong Avenue","Kaleen","12/08/2021 - Thursday","12:45pm","2:45pm","Close",-35.2221332464796,149.134415501606
"","St Thomas Aquinas Primary School","25 Lhotsky St","Charnwood","12/08/2021 - Thursday","8:30am","4:00pm","Close",-35.2061243716057,148.973621162121
"","Lennock Jaguar Land Rover","126 Melrose Drive","Phillip","13/08/2021 - Friday","8:30am","5:30pm","Close",-35.3557030760241,149.155800013151
"","Hungry Jacks Belconnen","108 Emu Bank Road","Belconnen","13/08/2021 - Friday","3:45pm","11:30pm","Close",-35.235826773797,149.049647316323
"","Hungry Jacks Belconnen","108 Emu Bank Road","Belconnen","14/08/2021 - Saturday","8:00am","3:15pm","Close",-35.2414075440981,149.083292023109
"New","Iskia Athletic Club Campbell","81 Constitution Avenue Campbell","Campbell","12/08/2021 - Thursday","12:15pm","2:00pm","Close",-35.2924508639592,149.158638231842
"New","The Rehabilitation Specialists","9/27 Yallourn Street Fyshwick","Fyshwick","11/08/2021 - Wednesday","2:30pm","5:00pm","Close",-35.3332145980536,149.129565154579
"New","The Rehabilitation Specialists","9/27 Yallourn Street Fyshwick","Fyshwick","11/08/2021 - Wednesday","8:30am","9:30am","Close",-35.3281238738485,149.183341350813
"New","Engineering house, tenancy 7/8, on level 2","11 National Circuit","Barton","09/08/2021 - Monday","6:15am","3:30pm","Close",-35.3126157611444,149.180967490658
"New","Engineering house, tenancy 7/8, on level 2","11 National Circuit","Barton","10/08/2021 - Tuesday","7:00am","4:00pm","Close",-35.3102747980768,149.105223722449
"New","Grand Central Towers - communal pool area","15 Bowes Street, Philip, ACT, 2606","Phillip","12/08/2021 - Thursday","11:45am","12:45pm","Close",-35.3416736600322,149.100389382023
"New","The Bucket Warehouse","Unit 1E/5 Pelle St, Mitchell","Mitchell","11/08/2021 - Wednesday","5:25pm","7:15pm","Close",-35.2138145438016,149.190280118727
"New","Subway","Shop 1/71-81 Woolley St, Dickson","Dickson","11/08/2021 - Wednesday","7:00pm","7:50pm","Close",-35.2466644161136,149.081502338301
"New","LDK Greenway","260 Soward Way","Greenway","10/08/2021 - Tuesday","3:30pm","11:59pm","Close",-35.4188212248341,149.067857118422
"New","LDK Greenway","260 Soward Way","Greenway","11/08/2021 - Wednesday","12am","11:59pm","Close",-35.4239963775591,149.080149153015
"New","LDK Greenway","260 Soward Way","Greenway","12/08/2021 - Thursday","12am","1159pm","Close",-35.4201441111297,149.011107286509
"New","LDK Greenway","260 Soward Way","Greenway","13/08/2021 - Friday","12am","1159pm","Close",-35.4235466056188,149.076539251754
"New","LDK Greenway","260 Soward Way","Greenway","14/08/2021 - Saturday","12am","1159pm","Close",-35.4201360701682,149.062441743845
"New","LDK Greenway","260 Soward Way","Greenway","15/08/2021 - Sunday","12am","1159pm","Close",-35.4233794021141,149.120317367255
"New","Goodstart Early Learning Turner","12 Watson Street","Turner","11/08/2021 - Wednesday","10:20am","10:40am","Close",-35.2742819235618,149.134405352491
"New","Goodstart Early Learning Turner","12 Watson Street","Turner","11/08/2021 - Wednesday","5:00pm","5:30pm","Close",-35.2780564544904,149.178867807217
"New","Route 9 Bus CheckIn CBR Code BUS604","Watson to Dickson Interchange","Public Transport","11/08/2021 - Wednesday","8:06am","8:17am","Close",-35.2533229737794,149.109118955176
"New","Route 9 Bus CheckIn CBR Code BUS588","Dickson Interchange to Watson","Public Transport","11/08/2021 - Wednesday","3:12pm","3:23pm","Close",-35.2504738274039,149.111586744975
"New","Route 9 Bus","Watson to Dickson Interchange","Public Transport","12/08/2021 - Thursday","8:00am","8:20am","Close",-35.2477730017077,149.134143745126
"New","Bus Route 25 CheckIn CBR Code BUS939","Moncrieff to Gungahlin","Public Transport","10/08/2021 - Tuesday","7:50am","8:04am","Close",-35.2793866983103,149.104709224193
"New","Light Rail - R1 CheckIn CBR Code LVR003","Gungahlin to Dickson Interchange","Public Transport","10/08/2021 - Tuesday","8:20am","8:38am","Close",-35.2518864210667,149.122754802575
"New","Light Rail - R1 CheckIn CBR Code LVR005","Dickson Interchange to Gungahlin","Public Transport","10/08/2021 - Tuesday","3:18pm","3:37pm","Close",-35.2520315337557,149.174816943627
"New","Bus Route 25 CheckIn CBR Code 939","Gungahlin to Moncrieff","Public Transport","10/08/2021 - Tuesday","4:23pm","4:38pm","Close",-35.2833598749866,149.159809329478
"New","Bus Route 25 CheckIn CBR Code BUS458","Moncrief to Gungahlin","Public Transport","11/08/2021 - Wednesday","7:51am","8:04am","Close",-35.2738861398561,149.122578821799
"New","Light Rail - R1 Check in CBR Code LRV006","Gungahlin to Moncrieff","Public Transport","11/08/2021 - Wednesday","8:20am","8:38am","Close",-35.2821055091544,149.109928901842
"New","Light Rail - R1 Check in CBR Code LRV005","Dickson Interchange to Gungahlin","Public Transport","11/08/2021 - Wednesday","3:18pm","3:37pm","Close",-35.2534365049198,149.153093975677
"New","Bus Route 25 Check in CBR Code BUS428","Gungahlin to Moncrieff","Public Transport","11/08/2021 - Wednesday","4:07pm","4:20pm","Close",-35.2761300357119,149.07172721834
"New","Bus Route 25 Check in CBR Code BUS433","Moncrief to Gungahlin","Public Transport","12/08/2021 - Thursday","7:51am","8:04am","Close",-35.2810327995835,149.198588237558
"New","Light Rail - R1 Check in CBR Code LRV003","Dickson Interchange to Gungahlin","Public Transport","12/08/2021 - Thursday","8:20am","8:38am","Close",-35.2511652858282,149.100109906479
"New","Light Rail - R1 Check in CBR Code LRV005","Dickson Interchange to Gungahlin","Public Transport","12/08/2021 - Thursday","3:18pm","3:37pm","Close",-35.2505187824406,149.094412859615
"New","Bus Route 25 Check in CBR Code BUS585","Gungahlin to Moncrieff","Public Transport","12/08/2021 - Thursday","4:02pm","4:14pm","Close",-35.2750781687892,149.119620812044
"New","Ginninderra Medical & Dental Centre - The general practice section ONLY","Cnr Nettlefold Street & Coulter Drive","Belconnen","13/08/2021 - Friday","3:10pm","3:40pm","Close",-35.2340290570595,149.031882923597
"","Central Food Court, Canberra Outlet Centre","337 Canberra Avenue","Fyshwick","08/08/2021 - Sunday","1:30pm","2:30pm","Casual",-35.3356011027397,149.134434306453
"","Boost Juice, Canberra Outlet Centre","337 Canberra Avenue","Fyshwick","08/08/2021 - Sunday","1:35pm","2:05pm","Casual",-35.3395330025816,149.197042965403
"","Coles amaroo","Horse Park Drive","amaroo","08/08/2021 - Sunday","4:00pm","4:20pm","Casual",-35.1638244697305,149.165124237385
"","Holy Sprit Catholic Primary School (including Early Childhood Learning Centre)","26 Kelleway Avenue","Nicholls","09/08/2021 - Monday","8:25am","5:00pm","Casual",-35.1830384746979,149.057506863429
"","Bunnings Warehouse Canberra Airport","971 Majura Road","Majura Park","09/08/2021 - Monday","9:00am","10:30am","Casual",-35.2982828775818,149.134380325506
"","Mugga Site - Mugga Lane Resource Management Centre Waste Transfer Station","Mugga Lane","Symonston","09/08/2021 - Monday","10:00am","10:30am","Casual",-35.3851684882852,149.102787392809
"","Canberra Centre Subway and Food Court","Canberra Centre, 148 Bunda Street","Canberra City","09/08/2021 - Monday","10:30am","12 noon","Casual",-35.2817029608845,149.064907106346
"","St George Bank","58 Wollongong Street","Fyshwick","09/08/2021 - Monday","10:35am","11:00am","Casual",-35.3226449274311,149.175241551243
"","Woolworths Dickson","Dickson Place","Dickson","09/08/2021 - Monday","3:00pm","4:00pm","Casual",-35.2510559004227,149.104840698747
"","KFC Dickson","Bradham Street and Wooley Street","Dickson","09/08/2021 - Monday","3:00pm","4:00pm","Casual",-35.2483599607762,149.136753539641
"","Officeworks Braddon","30 Mort Street","Braddon","09/08/2021 - Monday","3:15pm","4:00pm","Casual",-35.2708109392401,149.102639750301
"","Stockade Training Centre","7 Kembla Street","Fyshwick","09/08/2021 - Monday","3:45pm","5:30pm","Casual",-35.3255584996871,149.137894853368
"","Holy Sprit Catholic Primary School (including Early Childhood Learning Centre)","26 Kelleway Avenue","Nicholls","10/08/2021 - Tuesday","8:00am","3:10pm","Casual",-35.181443069267,149.130191880351
"","Civic Square Post Office","Shop G14-16, Canberra Centre, 148 Bunda Street","Canberra City","10/08/2021 - Tuesday","9:30am","9:50am","Casual",-35.2813296913164,149.065478176012
"","Basketball ACT","Basketball & Sports Centre, 42 Oatley Ct","Belconnen","10/08/2021 - Tuesday","12 noon","3:00pm","Casual",-35.239465287261,149.023488794496
"","Bing Lee","10-12 Cohen Street","Belconnen","10/08/2021 - Tuesday","12:50pm","1:15pm","Casual",-35.2412941959073,149.073858944469
"","Kmart Gungahlin","33 Hibberson Street","Gungahlin","10/08/2021 - Tuesday","3:00pm","4:00pm","Casual",-35.1873583611277,149.12938848123
"","Big W Gungahlin","Gozzard Street","Gungahlin","10/08/2021 - Tuesday","3:45pm","4:30pm","Casual",-35.1918924368036,149.14579644054
"","Seears Workwear","60 Barrier Street","Fyshwick","10/08/2021 - Tuesday","4:00pm","4:15pm","Casual",-35.3301280499674,149.197399620373
"","Supabarn","15 Kingsland Parade","Casey","10/08/2021 - Tuesday","4:00pm","4:10pm","Casual",-35.1760402927569,149.073913560347
"","Sushi Island","15/22 Kingsland Parade","Casey","10/08/2021 - Tuesday","4:00pm","4:15pm","Casual",-35.1713612814608,149.156801851611
"","First Choice Liquor","48 Mort Street","Braddon","10/08/2021 - Tuesday","4:25pm","4:45pm","Casual",-35.2728885606823,149.114145023903
"","David Jones Canberra Centre","148 Bunda Street","Canberra City","10/08/2021 - Tuesday","5:15pm","6:00pm","Casual",-35.2763558348327,149.158563220489
"","EQ Café and Lounge","70 Kent Street","Deakin","11/08/2021 - Wednesday","6:30am","4:00pm","Casual",-35.3220847547113,149.120222878016
"","Basketball ACT, Basketball & Sports Centre","42 Oatley Ct","Belconnen","11/08/2021 - Wednesday","6:40am","9:00pm","Casual",-35.2436818211866,149.07824520691
"","EQ Bakehouse","70 Kent Street","Deakin","11/08/2021 - Wednesday","7:00am","4:00pm","Casual",-35.3198452560668,149.125621153222
"","TLE Electrical & Data supplies","22-36 Oatley Court","Belconnen","11/08/2021 - Wednesday","7:45am","8:30am","Casual",-35.2399183927425,149.070559896667
"","Abode Hotel (Floors 1, 2 and 3)","14 Kennedy Street","Kingston","11/08/2021 - Wednesday","7:50am","11:59pm","Casual",-35.3174690080165,149.122430952915
"","Holy Sprit Catholic Primary School (including Early Childhood Learning Centre)","26 Kelleway Avenue","Nicholls","11/08/2021 - Wednesday","8:00am","5:00pm","Casual",-35.183425276372,149.098523377714
"","Café Mame","2/4-6 Melba Cct","Melba","11/08/2021 - Wednesday","8:50am","9:15am","Casual",-35.2091920620002,149.096269345313
"","IGA Melba","1/4-6 Melba Cct","Melba","11/08/2021 - Wednesday","8:50am","9:15am","Casual",-35.2039123862782,149.062173023381
"","Elite Supplements","13 Keltie Street","Phillip","11/08/2021 - Wednesday","11:15am","12:15pm","Casual",-35.3446073076225,149.070843860151
"","Rebel Sport","Shop LM2, Keltie Street","Phillip","11/08/2021 - Wednesday","11:15am","12:15pm","Casual",-35.3466274956879,149.083341914565
"","Sushi Island","15/22 Kingsland Parade","Casey","11/08/2021 - Wednesday","1:00pm","1:10pm","Casual",-35.1748212860915,149.161081833564
"","Supabarn Casey","15 Kingsland Parade","Casey","11/08/2021 - Wednesday","1:05pm","1:30pm","Casual",-35.175313071797,149.093275385421
"","ampol Fuel","289 Canberra Avenue","Fyshwick","11/08/2021 - Wednesday","1:10pm","1:30pm","Casual",-35.3385610686824,149.187077464088
"","Woolworths Dickson","1 Dickson Place","Dickson","11/08/2021 - Wednesday","3:00pm","3:30pm","Casual",-35.2488875016769,149.167461363846
"","Coles Supermarket Manuka","Franklin Street &, Flinders Way","Griffith","11/08/2021 - Wednesday","6:00pm","6:45pm","Casual",-35.3206962749499,149.186915601858
"","Woolworths Charnwood","25-30 Charnwood Place","Charnwood","11/08/2021 - Wednesday","6:30pm","7:10pm","Casual",-35.2049492259637,149.051761055067
"","Southern Cross Basketball Club Stadium","7 Pitman Street","Greenway","11/08/2021 - Wednesday","8:30pm","10:00pm","Casual",-35.4149326850989,149.040168656961
"","Xian Restaurant,","1/140 Emu Bank","Belconnen","11/08/2021 - Wednesday","9:15pm","9:45pm","Casual",-35.2378349807828,149.110392988607
"","Abode Hotel (Floors 1, 2 and 3)","14 Kennedy Street","Kingston","12/08/2021 - Thursday","12:00am","7:00pm","Casual",-35.31589924282,149.192421831975
"","EQ Bakehouse","70 Kent Street","Deakin","12/08/2021 - Thursday","7:00am","10:00am","Casual",-35.3224144332549,149.075815288181
"","TLE Electrical & Data supplies","22-36 Oatley Court","Belconnen","12/08/2021 - Thursday","7:30am","8:15am","Casual",-35.2413336834256,149.006445680299
"","Coles Express Belconnen (Petrol Station)","Lathlain Street and Wignall Place","Belconnen","12/08/2021 - Thursday","7:50am","8:10am","Casual",-35.2484399848664,149.068851710942
"","McDonalds","Cnr Charnwood Place & Lhotsky Place","Charnwood","12/08/2021 - Thursday","8:00am","8:45am","Casual",-35.2064801119399,148.966226306711
"","Holy Sprit Catholic Primary School (including Early Childhood Learning Centre)","26 Kelleway Avenue","Nicholls","12/08/2021 - Thursday","8:00am","3:10pm","Casual",-35.1791902306224,149.085543687017
"","Big W","Gozzard Street","Gungahlin","12/08/2021 - Thursday","2:40pm","3:00pm","Casual",-35.1867052638105,149.078354937111
"","St George Bank Gungahlin","30 Hibberson Street","Gungahlin","12/08/2021 - Thursday","2:40pm","3:10pm","Casual",-35.181331132177,149.18782926628
"","IGA Lyneham","1 Wattle Place","Lyneham","12/08/2021 - Thursday","3:00pm","3:45pm","Casual",-35.2510366574572,149.110613815597
"","Commonwealth Bank Gungahlin","33 Hibberson Street, Shop 23, 25 Gungahlin Mall","Gungahlin","12/08/2021 - Thursday","3:00pm","3:20pm","Casual",-35.1851399416183,149.153663022939
"","Services Australia","5 Fussell Lane","Gungahlin","12/08/2021 - Thursday","3:10pm","3:30pm","Casual",-35.1878268331882,149.125997204975
"","Vodafone","18 Hibberson Street","Gungahlin","12/08/2021 - Thursday","3:20pm","3:45pm","Casual",-35.1865931149838,149.116004696816
"","Reject Shop, Gungahlin Village","Corner Hibberson Street and Gungahlin Place - Shop 2, 46 Hibberson Street","Gungahlin","12/08/2021 - Thursday","3:45pm","4:10pm","Casual",-35.1867933186579,149.142795359779
"","Beyond Pharmacy","4/18 Lonsdale Street","Braddon","12/08/2021 - Thursday","3:45pm","4:00pm","Casual",-35.2711965310631,149.17193195088
"","7-Eleven Braddon","20 Mort Street","Braddon","12/08/2021 - Thursday","3:45pm","4:00pm","Casual",-35.2798520827939,149.179913384936
"","Mr Sushi","Gungahlin Village","Gungahlin","12/08/2021 - Thursday","4:00pm","4:15pm","Casual",-35.1871279760089,149.125156869168
"","ALDI","Westfield Belconnen, Benjamin Way","Belconnen","13/08/2021 - Friday","8:45am","9:20am","Casual",-35.2415282231077,149.041266349667
"","Woolworths","Westfield Belconnen, Benjamin Way","Belconnen","13/08/2021 - Friday","9:05am","9:45am","Casual",-35.2337957367344,149.014185721093
"","O’Connor Capital Chemist","9 Sargood Street","O’Connor","13/08/2021 - Friday","9:35am","10:00am","Casual",-35.2657814009693,149.129662298011
"","Kopiku","1/5 Sargood Street","O’Connor","13/08/2021 - Friday","9:45am","10:15am","Casual",-35.2643649766301,149.111451819577
"","Coles","Westfield Belconnen, Benjamin Way","Belconnen","13/08/2021 - Friday","9:35am","10:00am","Casual",-35.2407195599867,149.110255011997
