"Status","Exposure.Location","Street","Suburb","Date","Arrival.Time","Departure.Time","Contact","lat","lon","doubles","moved"
"","City Family Practice","161 London Circuit","Canberra City","17/09/2021 - Friday","11:00am","12:30pm","Casual",-35.280178,149.13124,"",FALSE
"New","The Pharmacy on Petrie","148 Bunda Street","Canberra City","17/09/2021 - Friday","12:30pm","1:00pm","Monitor",-35.2788096,149.1335576,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE
"","Friendly Grocer Hughes","16 Hughes Place","Hughes","16/09/2021 - Thursday","10:00am","11:00am","Monitor",-35.3335607,149.0937634,"",FALSE
"","Friendly Grocer Hughes","16 Hughes Place","Hughes","16/09/2021 - Thursday","5:00pm","6:00pm","Monitor",-35.3335607,149.0937134,"",FALSE
"","Woolworths Kambah","2 Primmer Court","Kambah","16/09/2021 - Thursday","3:45pm","4:15pm","Monitor",-35.3801801,149.0572947,"",FALSE
"","Coles Wanniassa","12 Sangster Place","Wanniassa","16/09/2021 - Thursday","2:10pm","2:35pm","Casual",-35.3912889,149.0854972,"",FALSE
"","Coles Canberra Centre","Canberra Centre, 148 Bunda Street","Canberra City","16/09/2021 - Thursday","12:50pm","1:30pm","Monitor",-35.2802271,149.1333809,"",FALSE
"","Yarra Rossa Construction Site","51 Hicks Street","Red Hill","16/09/2021 - Thursday","7:00am","10:30am","Casual",-35.3380861,149.1284444,"",FALSE
"New","Watson Pharmacy","1 Watson Place","Watson","16/09/2021 - Thursday","10:30am","11:30am","Monitor",-35.239029,149.153282,"",FALSE
"","Hindmarsh Campbell - Seventy One","71 Constitution Avenue","Campbell","15/09/2021 - Wednesday","6:40am","5:00pm","Casual",-35.291031,149.144624,"",FALSE
"","United Petroleum Kambah","150 O'Halloran Circuit","Kambah","15/09/2021 - Wednesday","7:45pm","8:15pm","Monitor",-35.3926772,149.0689965,"",FALSE
"","Coles Express Gungahlin","1 Ginn Street","Gungahlin","15/09/2021 - Wednesday","6:20pm","7:00pm","Monitor",-35.1834139,149.1268238,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE
"","Coles Express Phillip","172 Melrose Drive","Phillip","15/09/2021 - Wednesday","7:20pm","8:00pm","Monitor",-35.3500068,149.0851387,"",FALSE
"","Supabarn Crace","56 Abena Avenue","Crace","15/09/2021 - Wednesday","12:45pm","3:30pm","Monitor",-35.2020605,149.1076007,"",FALSE
"","Coles Kaleen","1 Maribyrnong Avenue","Kaleen","15/09/2021 - Wednesday","4:00pm","4:40pm","Monitor",-35.2202787,149.1028728,"",FALSE
"","B&B Emporium","Kaleen Plaza, Georgina Crescent","Kaleen","15/09/2021 - Wednesday","4:10pm","4:45pm","Monitor",-35.2202159,149.1033936,"",FALSE
"","Woolworths Gungahlin","30/33 Hibberson Street","Gungahlin","15/09/2021 - Wednesday","6:25pm","7:15pm","Casual",-35.1846274,149.1340141,"",FALSE
"","Yarra Rossa Construction Site","51 Hicks Street","Red Hill","15/09/2021 - Wednesday","7:00am","4:00pm","Casual",-35.3380861,149.1283944,"",FALSE
"","Woolworths Kippax","Kippax Fair Shopping Centre, 26 Hardwick Crescent","Holt","15/09/2021 - Wednesday","12:50pm","1:30pm","Monitor",-35.2218013,149.0194113,"",FALSE
"","Caremore Pharmacy Kippax","8 Hardwick Crescent","Holt","15/09/2021 - Wednesday","1:00pm","1:40pm","Monitor",-35.221893,149.0195783,"",FALSE
"","Busy Bees at Crace","44 Hillcrest Street","Crace","15/09/2021 - Wednesday","8:45am","2:30pm","Casual",-35.2029196,149.1074833,"",FALSE
"","Supabarn Crace","56 Abena Avenue","Crace","15/09/2021 - Wednesday","12:45pm","1:30pm","Monitor",-35.2020605,149.1075507,"",FALSE
"New","Abode Woden","10 Bowes Street","Phillip","15/09/2021 - Wednesday","12:00am","11:59pm","Monitor",-35.3433861,149.0860964,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE
"New","Services Australia (Level 3 North Wing)","57 Athllon Drive","Greenway","15/09/2021 - Wednesday","8:20am","5:00pm","Casual",-35.421141,149.0655739,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE
"New","Services Australia Building","57 Athllon Drive","Greenway","15/09/2021 - Wednesday","8:20am","5:00pm","Monitor",-35.421141,149.0655239,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE
"New","Services Australia (Calypso Cafe)","57 Athllon Drive","Greenway","15/09/2021 - Wednesday","12:20pm","1:10pm","Casual",-35.421141,149.0654739,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE
"New","Kaleen Plaza Pharmacy","Shop 5, Kaleen Shopping Centre, Georgina Crescent","Kaleen","15/09/2021 - Wednesday","4:30pm","5:15pm","Monitor",-35.2202187,149.1036482,"",FALSE
"New","Coles Express Gungahlin","1 Ginn Street","Gungahlin","15/09/2021 - Wednesday","6:20pm","7:00pm","Monitor",-35.1834139,149.1267738,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE
"","Hindmarsh Campbell - Seventy One","71 Constitution Avenue","Campbell","14/09/2021 - Tuesday","6:40am","5:00pm","Casual",-35.291031,149.144574,"",FALSE
"","Oliphant Building, ANU","60 Mills Road","Acton","14/09/2021 - Tuesday","8:50am","1:15pm","Casual",-35.2839744,149.1131291,"",FALSE
"","IGA Melba","1/4-6 Melba Circuit","Melba","14/09/2021 - Tuesday","12:45pm","1:30pm","Monitor",-35.2081529,149.0486515,"",FALSE
"","Pharmacy Select Gungahlin","Gungahlin Village, 46 Hibberson Street","Gungahlin","14/09/2021 - Tuesday","6:00pm","6:30pm","Monitor",-35.185927,149.1363953,"",FALSE
"","Coles Gungahlin","Corner Hibberson Street and Gungahlin Place","Gungahlin","14/09/2021 - Tuesday","6:00pm","6:30pm","Monitor",-35.1862806,149.136042,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE
"","Kaleen Plaza","Georgina Crescent","Kaleen","14/09/2021 - Tuesday","3:50pm","4:30pm","Monitor",-35.2202159,149.1033436,"",FALSE
"","Two Before Ten Aranda","69 Bandjalong Crescent","Aranda","14/09/2021 - Tuesday","10:20am","11:00am","Monitor",-35.2564051,149.078815,"",FALSE
"","Metro Petroleum Mitchell","Lysaght Street","Mitchell","14/09/2021 - Tuesday","1:00pm","1:40pm","Monitor",-35.2154233,149.1425108,"",FALSE
"","IGA X-press East Row","22-58 East Row","Canberra City","14/09/2021 - Tuesday","7:15am","8:50am","Monitor",-35.2791945,149.1307937,"",FALSE
"","NewsXpress Wanniassa","Erindale Shopping Centre, 2 Denigan Street","Wanniassa","14/09/2021 - Tuesday","8:30am","10:00am","Monitor",-35.4040526,149.0986005,"",FALSE
"","Bus Route 51 Transport Canberra Code BUS456","O'Connor to Lyneham","Public Transport","14/09/2021 - Tuesday","7:15am","7:17am","Casual",-35.2809368,149.1301592,"",FALSE
"","Tuggeranong Discount Drug Store","17 Anketell Street","Greenway","14/09/2021 - Tuesday","6:05pm","6:40pm","Monitor",-35.4168087,149.0680445,"",FALSE
"","EG Fuel Conder","Tharwa Drive","Conder","14/09/2021 - Tuesday","9:20am","10:00am","Monitor",-35.4582538,149.0917291,"",FALSE
"","7-Eleven Casey","10 Kingsland Parade","Casey","14/09/2021 - Tuesday","8:30am","9:10am","Monitor",-35.175773,149.0957826,"",FALSE
"","IGA X-press East Row","22-58 East Row","Canberra City","14/09/2021 - Tuesday","7:00pm","8:00pm","Monitor",-35.2791945,149.1307437,"",FALSE
"","Yarra Rossa Construction Site","51 Hicks Street","Red Hill","14/09/2021 - Tuesday","7:00am","4:00pm","Casual",-35.3380861,149.1283444,"",FALSE
"","Woolworths Kippax","Kippax Fair Shopping Centre, 26 Hardwick Crescent","Holt","14/09/2021 - Tuesday","8:40pm","9:30pm","Monitor",-35.2218013,149.0193613,"",FALSE
"","Chemist Warehouse Fyshwick","17 Iron Knob Street","Fyshwick","14/09/2021 - Tuesday","2:00pm","2:40pm","Monitor",-35.3360642,149.17991,"",FALSE
"New","Woolworths Metro Cameron Avenue","1/6 Grazier Lane","Belconnen","14/09/2021 - Tuesday","1:30pm","1:40pm","Monitor",-35.2401725,149.0721313,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE
