"Status","Exposure.Location","Street","Suburb","Date","Arrival.Time","Departure.Time","Contact","lat","lon","doubles","moved"
"","Australia Post Gungahlin","46 Hibberson Street","Gungahlin","09/10/2021 - Saturday","10:25am","11:00am","Monitor",-35.1860759,149.136881,"",FALSE
"","Bus Route 4 Transport Canberra Code BUS646","Woden Interchange to Tuggeranong Interchange","Public Transport","09/10/2021 - Saturday","1:15pm","1:28pm","Casual",-35.3444429,149.0872942,"",FALSE
"","Bus Route 4 Transport Canberra Code BUS688","Tuggeranong Interchange to Woden Interchange","Public Transport","09/10/2021 - Saturday","11:59am","12:17pm","Casual",-35.414955,149.06613,"",FALSE
"","Bus Route 74 Transport Canberra Code BUS604","Richardson to Tuggeranong Interchange","Public Transport","09/10/2021 - Saturday","11:34am","11:47am","Casual",-35.414225,149.065303,"",FALSE
"","Bus Route 75 Transport Canberra Code BUS562","Tuggeranong Interchange to Richardson","Public Transport","09/10/2021 - Saturday","3:34pm","3:45pm","Casual",-35.414955,149.06608,"",FALSE
"","Coles Tuggeranong","South Point Tuggeranong, Anketell Street and Reed Street","Greenway","09/10/2021 - Saturday","3:20pm","4:00pm","Monitor",-35.4167822,149.0666567,"",FALSE
"","Friendly Grocer Gowrie","1 Jeffries Street","Gowrie","09/10/2021 - Saturday","1:30pm","3:00pm","Monitor",-35.4135355,149.1097403,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE
"","IGA Drakeford","9 Jenke Circuit","Kambah","09/10/2021 - Saturday","1:50pm","2:20pm","Monitor",-35.3930138,149.0685425,"",FALSE
"","IGA Gordon","114 Lewis Luxton Avenue","Gordon","09/10/2021 - Saturday","2:00pm","2:45pm","Monitor",-35.4503888,149.0839076,"",FALSE
"","IGA X-Press Nicholls","88 Kelleway Avenue","Nicholls","09/10/2021 - Saturday","11:15am","12:00pm","Monitor",-35.1831589,149.0986612,"",FALSE
"","Manuka Coles","Franklin Street and Flinders Way","Griffith","09/10/2021 - Saturday","7:45am","8:25am","Monitor",-35.3210247,149.1341946,"",FALSE
"","Oporto Gungahlin","Marketplace Gungahlin, Hibberson Street","Gungahlin","09/10/2021 - Saturday","11:25am","12:10pm","Monitor",-35.1853007,149.1325714,"",FALSE
"","SUPABARN Casey","Casey Market Town, 15 Kingsland Parade","Casey","09/10/2021 - Saturday","10:25am","11:05am","Monitor",-35.1741413,149.0960504,"",FALSE
"","Woolworths Calwell","Calwell Shopping Centre, 7 Webber Crescent","Calwell","09/10/2021 - Saturday","8:00pm","8:40pm","Monitor",-35.4346893,149.114762,"",FALSE
