"Status","Exposure.Location","Street","Suburb","Date","Arrival.Time","Departure.Time","Contact","type","lat","lon"
"","Woolworths Kippax","48 Hardwick Cres, Holt","Holt","10/08/2021 - Tuesday","11:00am","11:15am","Monitor","Monitor ",-35.2228703,149.0201727
"","ALDI Kippax,","50-60 Hardwick Crescent, Kippax Pl, Holt","Holt","12/08/2021 - Thursday","1:20pm","2:00pm","Monitor","Monitor ",-35.2210845,149.0192219
"","Hawker Drive In Bottle Shop","Belconnen Way &, Springvale Dr, Hawker","Hawker","13/08/2021 - Friday","4:45pm","5:00pm","Monitor","Monitor ",-35.2481341,149.0679746
"","CIT Bruce Campus: Entire Campus (refer to Close Contacts entry if attended Building H)","35 Vowels Cres, Bruce","Bruce","10/08/2021 - Tuesday","8:45am","4:30pm","Monitor","Monitor ",-35.2481112,149.0946633
"","CIT Bruce Campus: Entire Campus (refer to Close Contacts entry if attended Building H)","35 Vowels Cres, Bruce","Bruce","11/08/2021 - Wednesday","12:30pm","10:30pm","Monitor","Monitor ",-35.2481112,149.0946633
"","7-Eleven Braddon","20 Mort Street","Braddon","11/08/2021 - Wednesday","5:00pm","5:15pm","Monitor","Monitor ",-35.275691,149.1316658
"","Westfield Belconnen","Benjamin Way, Belconnen","Belconnen","13/08/2021 - Friday","8:45am","10:15am","Monitor","Monitor ",-35.2380765,149.0650422
"","Westfield Belconnen","Benjamin Way, Belconnen","Belconnen","13/08/2021 - Friday","1:30pm","2:50pm","Monitor","Monitor ",-35.2380765,149.0650422
"","Canberra Centre","148 Bunda Street","Canberra City","09/08/2021 - Monday","10:30am","12:00pm","Monitor","Monitor ",-35.2802938,149.1332387
"New","Coles Supermarket  Manuka","Franklin Street &, Flinders Way","Manuka","15/08/2021 - Sunday","11:15am","12:00pm","Monitor","Monitor New",-35.32102,149.1342
"New","Lyneham IGA","1 Wattle Place","Lyneham","13/08/2021 - Friday","11:00am","11:45am","Monitor","Monitor New",-35.2520717,149.1248594
"New","UCSSC Lake Ginninderra (Entire Campus excluding Gymnasium and Cafeteria/Canteen area. Refer to Close Contact entry if you attended Gymnasium and Cafeteria/Canteen area)","2 Emu Bank","Belconnen","09/08/2021 - Monday","10:00am","1:30pm","Monitor","Monitor New",-35.2386423,149.073685
