"Status","Exposure.Location","Street","Suburb","Date","Arrival.Time","Departure.Time","Contact","type","lat","lon"
"","F45 Training","10 National Circuit","Barton","11/08/2021 - Wednesday","5:00am","8:00am","Close","Close ",-35.3085945,149.1339174
"","Gold Creek School (including early childhood learning)","Kelleway Avenue","Nicholls","11/08/2021 - Wednesday","8:00am","5:00pm","Close","Close ",-35.1812815,149.1004454
"","Lennock Jaguar Land Rover","126 Melrose Drive","Phillip","11/08/2021 - Wednesday","8:30am","5:30pm","Close","Close ",-35.356842,149.0891491
"","Lyneham High School","Goodwin Street","Lyneham","11/08/2021 - Wednesday","8:30am","3:30pm","Close","Close ",-35.2524674,149.130518
"","Pellegrino’s Café","7/49 Wollongong Street","Fyshwick","11/08/2021 - Wednesday","8:30am","8:35am","Close","Close ",-35.3247984,149.1794654
"New","Harrison School","20 Wimmera Street","Harrison","11/08/2021 - Wednesday","8:30am","3:30pm","Close","Close New",-35.1996408,149.1522772
"","CIT Reid Campus (Entire campus)","37 Constitution Avenue","Reid","11/08/2021 - Wednesday","8:45am","3:00pm","Close","Close ",-35.2860802,149.1374325
"New","IGA Evatt","Heydon Place","Evatt","11/08/2021 - Wednesday","9:00am","3:00pm","Close","Close New",-35.2090949,149.0737921
"","North Canberra Business Centre","54 Vicars Street","Mitchell","11/08/2021 - Wednesday","11:10am","11:30am","Close","Close ",-35.210138,149.1443583
"","Companion House","41 Templeton Street","Cook","11/08/2021 - Wednesday","11:30am","11:45am","Close","Close ",-35.2590484,149.0615234
"","Capital Chemist, Green Square","62 Jardine Street","Kingston","11/08/2021 - Wednesday","12 noon","12:15pm","Close","Close ",-35.3159461,149.1415931
"","Pellegrino’s Café","7/49 Wollongong Street","Fyshwick","11/08/2021 - Wednesday","12 noon","1:00pm","Close","Close ",-35.3247984,149.1794654
"New","GGs Flowers & Hampers","Unit 3D, Farrer Shops","Farrer","11/08/2021 - Wednesday","12:15pm","2:00pm","Close","Close New",-35.3754197,149.1013801
"","Coles Manuka","Franklin Street and Flinders Way","Griffith","11/08/2021 - Wednesday","12:15pm","12:40pm","Close","Close ",-35.3210247,149.1341946
"","CIT Bruce Campus (Individuals who attended Building H only)","35 Vowels Crescent","Bruce","11/08/2021 - Wednesday","12:30pm","4:40pm","Close","Close ",-35.2481112,149.0946633
"","Gunners Place – Youth Centre","Level 1, 20 Hibberson Street","Gungahlin","11/08/2021 - Wednesday","1:30pm","2:30pm","Close","Close ",-35.1852318,149.133036
"New","Westfield Food Court, Yum Cha","Benjamin Way","Belconnen","11/08/2021 - Wednesday","3:00pm","4:30pm","Close","Close New",-35.2379343,149.0652428
"New","IGA Evatt","Heydon Place","Evatt","11/08/2021 - Wednesday","4:00pm","8:15pm","Close","Close New",-35.2090949,149.0737921
"","Club Lime, CISAC","100 Eastern Valley Way","Bruce","11/08/2021 - Wednesday","4:45pm","7:15pm","Close","Close ",-35.2419481,149.0749404
"","The Civic Pub","8 Lonsdale Street","Braddon","11/08/2021 - Wednesday","5:00pm","8:30pm","Close","Close ",-35.2749938,149.1327273
"","Turkish Delight","75/71 Giles Street","Kingston","11/08/2021 - Wednesday","6:35pm","6:45pm","Close","Close ",-35.3129422,149.1457753
"","Power Kart Raceway","125 Canberra Avenue","Griffith","11/08/2021 - Wednesday","7:15pm","8:30pm","Close","Close ",-35.3219801,149.1498478
"","Gelato Messina Kingston","38 Eyre Street","Kingston","11/08/2021 - Wednesday","8:00pm","8:40pm","Close","Close ",-35.3165027,149.1424717
"","F45 Training","10 National Circuit","Barton","12/08/2021 - Thursday","5:00am","8:00am","Close","Close ",-35.3085945,149.1339174
"","Melt","109 Flemington Road","Mitchell","12/08/2021 - Thursday","7:30am","8:00am","Close","Close ",-35.2204521,149.14453
"","Lawrence & Hanson Mitchell","2/67-71 Vicars Street","Mitchell","12/08/2021 - Thursday","7:30am","8:00am","Close","Close ",-35.2100296,149.1397705
"","Gold Creek School (including Early Childhood Learning Centre)","Kelleway Avenue","Nicholls","12/08/2021 - Thursday","8:00am","3:10pm","Close","Close ",-35.1812815,149.1004454
"New","Harrison School","20 Wimmera Street","Harrison","12/08/2021 - Thursday","8:30am","3:30pm","Close","Close New",-35.1996408,149.1522772
"","Pellegrino’s Café","7/49 Wollongong Street","Fyshwick","12/08/2021 - Thursday","8:30am","8:35am","Close","Close ",-35.3247984,149.1794654
"","Lennock Jaguar Land Rover","126 Melrose Drive","Phillip","12/08/2021 - Thursday","8:30am","5:30pm","Close","Close ",-35.356842,149.0891491
"","Lyneham High School","Goodwin Street","Lyneham","12/08/2021 - Thursday","8:30am","3:30pm","Close","Close ",-35.2524674,149.130518
"","CIT Reid Campus (Entire campus)","37 Constitution Avenue","Reid","12/08/2021 - Thursday","9:00am","2:30pm","Close","Close ",-35.2860802,149.1374325
"","Commonwealth Bank Gungahlin","Shop 23-25, Gungahlin Mall, 33 Hibberson Street","Gungahlin","12/08/2021 - Thursday","9:30am","10:00am","Close","Close ",-35.1853356,149.1346788
"","Coffee Guru, Canberra Centre","Shop K05, Canberra Centre, 148 Bunda Street","Canberra City","12/08/2021 - Thursday","10:45am","12 noon","Close","Close ",-35.2802191,149.133323
"","Lawrence & Hanson Mitchell","2/67-71 Vicars Street","Mitchell","12/08/2021 - Thursday","12:40pm","1:00pm","Close","Close ",-35.2100296,149.1397705
"","Franklin General Practice","54 Nullarbor Avenue","Franklin","12/08/2021 - Thursday","2:15pm","3:15pm","Close","Close ",-35.2007392,149.1471045
"","Priceline Pharmacy Amaroo","6 Pioneer Street","Amaroo","12/08/2021 - Thursday","5:00pm","6:45pm","Close","Close ",-35.164779,149.1324158
"New","Coles Supermarket","1 Maribyrnong Avenue","Kaleen","12/08/2021 - Thursday","12:45pm","2:45pm","Close","Close New",-35.2202787,149.1028228
