"Status","Exposure.Location","Street","Suburb","Date","Arrival.Time","Departure.Time","Contact","lat","lon","doubles","moved"
"","Ampol Foodary Calwell","Were Street","Calwell","05/10/2021 - Tuesday","9:20am","10:00am","Monitor",-35.4347448,149.1125232,"",FALSE
"","ALDI Chisholm","36 Benham Street","Chisholm","05/10/2021 - Tuesday","11:15am","11:50am","Monitor",-35.4148128,149.1293686,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE
"","Friendly Grocer Gowrie","1 Jeffries Street","Gowrie","05/10/2021 - Tuesday","11:25am","12:05pm","Monitor",-35.4135355,149.1097403,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE
"New","Woolworths Kippax","Kippax Fair Shopping Centre, 26 Hardwick Crescent","Holt","05/10/2021 - Tuesday","11:00am","11:45am","Casual",-35.2218013,149.0194363,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE
"New","KFC Gungahlin","30 Ernest Cavanagh Street","Gungahlin","05/10/2021 - Tuesday","4:00pm","9:30pm","Casual",-35.1842086,149.1323939,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE
"","Coles Chisholm","42 Halley Street","Chisholm","04/10/2021 - Monday","11:30am","12:05pm","Monitor",-35.4141067,149.1282919,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE
"New","Coles Jamison","Jamison Plaza, Bowman Street","Macquarie","04/10/2021 - Monday","4:25pm","5:10pm","Monitor",-35.2528076,149.0713598,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE
"New","Priceline Pharmacy Gowrie","3 Jeffries Street","Gowrie","04/10/2021 - Monday","11:15am","12:00pm","Monitor",-35.4136847,149.1096947,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE
"New","Stella's by the lake","1 Beisssel Street","Belconnen","04/10/2021 - Monday","10:40am","11:20am","Monitor",-35.2359368,149.0655079,"",FALSE
"New","Woolworths Erindale","Erindale Shopping Centre, 50-68 Comrie Street","Wanniassa","04/10/2021 - Monday","6:45pm","7:50pm","Casual",-35.4035739,149.098827,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE
"New","Woolworths Kippax","Kippax Fair Shopping Centre, 26 Hardwick Crescent","Holt","04/10/2021 - Monday","11:00am","11:40am","Monitor",-35.2218013,149.0193863,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE
"New","Angkor What","Westfield Belconnen, Benjamin Way","Belconnen","04/10/2021 - Monday","3:40pm","4:20pm","Monitor",-35.2384095,149.0655281,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE
